GeneA,GeneB,UniprotA,UniprotB,SymbolA,SymbolB,pW,pNI,pInt
100,728378,P00813,A5A3E0,ADA,POTEF,6.88184379952655e-10,1.17635665707e-4,0.999882363646109
222389,6137,Q8N7W2-2,P26373,BEND7,RPL13,1.3403803669592e-18,0.22566447410874,0.77433552589126
222389,5928,Q8N7W2-2,Q09028-3,BEND7,RBBP4,7.221400507555699e-21,6.416690426411e-5,0.99993583309574
222389,25873,Q8N7W2-2,Q9Y3U8,BEND7,RPL36,7.0583723764003e-17,0.12818273426413,0.87181726573587
222389,6124,Q8N7W2-2,P36578,BEND7,RPL4,1.6323133384961e-22,0.20063791090184,0.79936208909816
222389,6188,Q8N7W2-2,P23396,BEND7,RPS3,3.9862700579427e-26,0.0010264311455794,0.99897356885442
222389,708,Q8N7W2-2,Q07021,BEND7,C1QBP,1.9439402169781904e-15,0.00703392346474343,0.992966076535255
222389,4038,Q8N7W2-2,O75096,BEND7,LRP4,4.3826355566066e-13,3.3149258365345e-4,0.999668507415908
222389,3836,Q8N7W2-2,P52294,BEND7,KPNA1,1.4076199138487999e-23,2.932661108737e-5,0.99997067338891
645121,3312,Q6ZMN8,P11142,CCNI2,HSPA8,9.95439054987814e-18,0.0457454472644416,0.954254552735558
645121,55132,Q6ZMN8,Q659C4-2,CCNI2,LARP1B,1.3354026729398499e-11,0.0363366001832439,0.963663399803402
645121,1020,Q6ZMN8,Q00535,CCNI2,CDK5,1.32460432050505e-10,4.355431340211e-5,0.999956445554138
945,201266,P20138,Q8N1S5-2,CD33,SLC39A11,0.00225506989904321,0.0569867811953684,0.940758148905588
945,5824,P20138,P40855-5,CD33,PEX19,2.0318498160373602e-14,0.00986435092244921,0.99013564907753
945,808,P20138,P62158,CD33,CALM3,9.27383635717589e-16,0.0572336334199086,0.942766366580091
945,23412,P20138,Q9UBI1,CD33,COMMD3,0.0965849584036847,0.0390901849012514,0.864324856695064
1819,3312,P55039,P11142,DRG2,HSPA8,3.07265579134766e-17,0.109509148041696,0.890490851958304
1819,51389,P55039,Q9H446,DRG2,RWDD1,5.34812625735239e-14,2.2913238973335698e-11,0.999999999977033
1819,5603,P55039,O15264,DRG2,MAPK13,1.08371384024e-5,1.256258752061e-5,0.999976600274077
148109,7444,Q17R55,Q86Y07-3,FAM187B,VRK2,2.6694581047645702e-17,0.126041113613029,0.873958886386971
148109,821,Q17R55,F5H856,FAM187B,CANX,3.8457139428587904e-17,0.0529246118666109,0.947075388133389
148109,3309,Q17R55,P11021,FAM187B,HSPA5,2.0555902480635199e-19,0.132636859660667,0.867363140339333
148109,56928,Q17R55,Q8TCT7-2,FAM187B,SPPL2B,2.2775633149372e-4,0.125842339972115,0.873929903696391
148109,293,Q17R55,P12236,FAM187B,SLC25A6,3.3353484333465404e-15,0.1646163375841,0.835383662415897
148109,9349,Q17R55,P62829,FAM187B,RPL23,6.08992857415331e-15,0.0251810120119642,0.97481898798803
148109,7846,Q17R55,Q71U36,FAM187B,TUBA1A,1.02294873724019e-13,0.154693858780132,0.845306141219765
148109,84790,Q17R55,Q9BQE3,FAM187B,TUBA1C,4.40152920870456e-12,0.136099581894228,0.86390041810137
148109,6646,Q17R55,P35610,FAM187B,SOAT1,7.07468948994567e-7,0.0212126564011994,0.978786636129852
148109,158747,Q17R55,Q8NHP6,FAM187B,MOSPD2,3.1190552974280903e-10,1.4010406704319e-4,0.999859895621051
54363,8514,Q9UJM8,Q13303-2,HAO1,KCNAB2,2.95435411539205e-6,0.0102619339192043,0.98973511172668
23640,3312,Q9NZL4,P11142,HSPBP1,HSPA8,1.2733985674271e-31,0.016656250934933,0.98334374906507
23640,728378,Q9NZL4,A5A3E0,HSPBP1,POTEF,8.71763304712118e-13,0.174887659387964,0.825112340611164
23640,26098,Q9NZL4,Q3B7T1-5,HSPBP1,C10orf137,4.479184361654079e-12,2.049670746606e-5,0.999979503288055
23640,22978,Q9NZL4,P49902,HSPBP1,NT5C2,2.3259028494081397e-11,8.51597894578379e-9,0.999999991460762
23640,1998,Q9NZL4,Q15723-1,HSPBP1,ELF2,0.158306731747165,0.00221418016774078,0.839479088085094
23313,10971,Q6ICG6-2,P27348,KIAA0930,YWHAQ,1.9239010486666002e-22,9.2622372429068e-8,0.99999990737763
23313,7529,Q6ICG6-2,P31946-2,KIAA0930,YWHAB,1.4061203602812e-26,5.5161649626865e-9,0.99999999448384
23313,2810,Q6ICG6-2,P31947-2,KIAA0930,SFN,3.41800734326468e-11,0.0959600277944227,0.904039972171397
23313,7532,Q6ICG6-2,P61981,KIAA0930,YWHAG,2.5705437645315e-23,1.0047262314057e-9,0.99999999899527
23313,7531,Q6ICG6-2,P62258,KIAA0930,YWHAE,8.86681289925075e-16,0.0262495828815266,0.973750417118473
23313,7534,Q6ICG6-2,P63104,KIAA0930,YWHAZ,3.132759498682e-24,8.442852577215e-8,0.99999991557147
23313,7533,Q6ICG6-2,Q04917,KIAA0930,YWHAH,2.0180694659491e-22,2.8174508228803e-8,0.99999997182549
23313,51654,Q6ICG6-2,Q96SZ6-2,KIAA0930,CDK5RAP1,6.5324447480754e-22,8.575906662654e-5,0.99991424093337
23313,55175,Q6ICG6-2,Q9NVR0,KIAA0930,KLHL11,2.51480675574835e-10,2.421459655583e-5,0.999975785151963
23313,10533,Q6ICG6-2,O95352,KIAA0930,ATG7,8.60910591408857e-12,0.0918816249947765,0.908118374996614
23313,7486,Q6ICG6-2,Q14191,KIAA0930,WRN,0.056070321963772,0.0096386632915665,0.934291014744662
23313,22933,Q6ICG6-2,Q8IXJ6-2,KIAA0930,SIRT2,0.00117249458839071,0.13098348902691,0.867844016384699
57805,3312,Q8N163-2,P11142,KIAA1967,HSPA8,1.1899649984832e-33,0.050771690643402,0.9492283093566
57805,8514,Q8N163-2,Q13303-2,KIAA1967,KCNAB2,3.5888383863049e-28,9.124515774404e-5,0.99990875484226
57805,54363,Q8N163-2,Q9UJM8,KIAA1967,HAO1,1.387414285516e-10,2.35389822081631e-7,0.999999764471436
57805,9859,Q8N163-2,Q5SW79,KIAA1967,CEP170,1.85683372475364e-8,0.142032533320784,0.857967448110879
57805,10381,Q8N163-2,Q13509,KIAA1967,TUBB3,1.3584175430859e-28,0.048534004663982,0.95146599533602
57805,347688,Q8N163-2,Q3ZCM7,KIAA1967,TUBB8,1.4867255403494998e-31,0.097727621676627,0.90227237832337
57805,4163,Q8N163-2,P23508-2,KIAA1967,MCC,2.3845096920038e-18,0.098122235301576,0.90187776469842
9926,728378,Q92604,A5A3E0,LPGAT1,POTEF,5.40684815021152e-10,1.6791353296261e-4,0.999832085926353
9926,345651,Q92604,Q562R1,LPGAT1,ACTBL2,2.22584637113134e-14,0.169392768644911,0.830607231355067
123355,3329,Q86X40,P10809,LRRC28,HSPD1,1.04806150719202e-14,1.2951411694794e-4,0.999870485883042
123355,664618,Q86X40,Q58FF6,LRRC28,HSP90AB4P,5.6669206885673795e-11,0.0100491585134425,0.989950841429888
123355,3312,Q86X40,P11142,LRRC28,HSPA8,7.45083397848803e-17,0.114685531305355,0.885314468694645
123355,3305,Q86X40,P34931,LRRC28,HSPA1L,7.77480114398616e-14,0.210942571471969,0.789057428527953
123355,8065,Q86X40,Q93034,LRRC28,CUL5,5.9598347928187995e-24,4.7509064459202e-9,0.99999999524909
123355,10910,Q86X40,Q9Y2Z0-2,LRRC28,SUGT1,2.1498469652781e-21,7.5534242750218e-4,0.9992446575725
123355,55626,Q86X40,Q9C0C7-3,LRRC28,AMBRA1,5.5634445595801e-14,0.0045766152300111,0.99542338476993
4109,2648,P43363,Q92830,MAGEA10,KAT2A,1.06706528249085e-10,7.56310281934169e-8,0.999999924262265
4109,8850,P43363,Q92831,MAGEA10,KAT2B,6.792372247803269e-11,7.88034853430457e-8,0.999999921128591
4109,10499,P43363,Q15596,MAGEA10,NCOA2,1.45912977491736e-14,1.27060477666769e-10,0.999999999872925
4109,57325,P43363,Q9H8E8-2,MAGEA10,CSRP2BP,3.4492588574828e-4,0.0659971357472478,0.933657938367004
4109,55689,P43363,Q9ULM3,MAGEA10,YEATS2,1.59685264070538e-13,0.025653713079552,0.974346286920288
4109,728269,P43363,P43362,MAGEA10,MAGEA9B,1.48463646853553e-7,2.17683106224603e-7,0.999999633853247
4109,728378,P43363,A5A3E0,MAGEA10,POTEF,5.6750662738456094e-11,2.127223264703e-5,0.999978727710602
4109,60,P43363,P60709,MAGEA10,ACTB,4.4543697892727905e-17,0.198954424679562,0.801045575320438
4109,1523,P43363,Q13948-2,MAGEA10,CUX1,2.50718309756966e-13,0.0541580784090862,0.945841921590663
4109,84250,P43363,Q9BQI6,MAGEA10,ANKRD32,1.1670244475041e-4,2.611552445043e-5,0.999857182030799
4109,23133,P43363,Q9UPP1-2,MAGEA10,PHF8,2.20911496948413e-9,2.973678291406e-5,0.999970261007971
4109,23314,P43363,Q9UPW6,MAGEA10,SATB2,1.6663176479364e-4,0.011058105651493,0.988775262583713
4109,8204,P43363,P48552,MAGEA10,NRIP1,1.452615171057e-5,1.869785049496e-5,0.999966775997794
4109,26009,P43363,Q8IYH5-2,MAGEA10,ZZZ3,3.45616721327019e-9,0.0581013366009883,0.941898659942844
4109,6191,P43363,P62701,MAGEA10,RPS4X,1.0434679343991e-14,0.212452639036566,0.787547360963424
4109,79832,P43363,Q2KHR3-2,MAGEA10,QSER1,1.93820117787723e-12,2.33468094149936e-6,0.99999766531712
4109,90459,P43363,Q8IV48,MAGEA10,ERI1,1.26891918952238e-6,2.39154776758433e-8,0.999998707165333
4109,55048,P43363,A5D8V6,MAGEA10,VPS37C,2.29170247926397e-7,0.0902847867243579,0.909714984105394
4109,55810,P43363,Q9P0K8-2,MAGEA10,FOXJ2,1.22378455153391e-13,8.770934065248849e-12,0.999999999991107
4109,23481,P43363,O00541-2,MAGEA10,PES1,6.66816764023337e-16,0.0082664571693375,0.991733542830662
4109,10474,P43363,O75528-2,MAGEA10,TADA3,0.00110704099992921,0.0108757127707458,0.988017246229325
4109,29902,P43363,Q8WUB2,MAGEA10,FAM216A,4.0394406800301e-11,7.541820658494131e-9,0.999999992417785
4109,5585,P43363,Q16512-2,MAGEA10,PKN1,5.91910489875515e-10,6.7089571907486e-4,0.999329103689015
4109,5451,P43363,P14859-2,MAGEA10,POU2F1,1.42258214859001e-10,3.62608626904193e-6,0.999996373771473
4109,29903,P43363,Q9BWC9,MAGEA10,CCDC106,8.138560324644e-5,0.00269062711147071,0.997227987285283
4109,54535,P43363,Q8TD31-2,MAGEA10,CCHCR1,2.42130788545424e-8,2.2236569931533e-4,0.999777610087606
4109,64784,P43363,Q6UUV7-3,MAGEA10,CRTC3,2.1794505173583e-4,8.05112397307837e-7,0.999781249835867
4109,6944,P43363,Q15906,MAGEA10,VPS72,0.0580679030591935,0.153853758702971,0.788078338237836
5603,728378,O15264,A5A3E0,MAPK13,POTEF,3.4691486292859396e-11,0.0211781285405866,0.978821871424722
