pathway_id,pathway_name,Gene
mmu00010,Glycolysis / Gluconeogenesis,GCK
mmu00010,Glycolysis / Gluconeogenesis,LDHAL6B
mmu00010,Glycolysis / Gluconeogenesis,ALDH7A1
mmu00010,Glycolysis / Gluconeogenesis,ADH1
mmu00010,Glycolysis / Gluconeogenesis,ADH7
mmu00010,Glycolysis / Gluconeogenesis,ADH5
mmu00010,Glycolysis / Gluconeogenesis,GM29667
mmu00010,Glycolysis / Gluconeogenesis,ALDH2
mmu00010,Glycolysis / Gluconeogenesis,ALDH3A1
mmu00010,Glycolysis / Gluconeogenesis,ALDH3A2
mmu00010,Glycolysis / Gluconeogenesis,ALDOA
mmu00010,Glycolysis / Gluconeogenesis,ALDOC
mmu00010,Glycolysis / Gluconeogenesis,BPGM
mmu00010,Glycolysis / Gluconeogenesis,DLD
mmu00010,Glycolysis / Gluconeogenesis,ENO1
mmu00010,Glycolysis / Gluconeogenesis,ENO2
mmu00010,Glycolysis / Gluconeogenesis,ENO3
mmu00010,Glycolysis / Gluconeogenesis,FBP2
mmu00010,Glycolysis / Gluconeogenesis,FBP1
mmu00010,Glycolysis / Gluconeogenesis,G6PC1
mmu00010,Glycolysis / Gluconeogenesis,G6PC2
mmu00010,Glycolysis / Gluconeogenesis,GAPDH
mmu00010,Glycolysis / Gluconeogenesis,GAPDHS
mmu00010,Glycolysis / Gluconeogenesis,GPI1
mmu00010,Glycolysis / Gluconeogenesis,HK1
mmu00010,Glycolysis / Gluconeogenesis,HK2
mmu00010,Glycolysis / Gluconeogenesis,LDHA
mmu00010,Glycolysis / Gluconeogenesis,LDHB
mmu00010,Glycolysis / Gluconeogenesis,LDHC
mmu00010,Glycolysis / Gluconeogenesis,MINPP1
mmu00010,Glycolysis / Gluconeogenesis,PCK1
mmu00010,Glycolysis / Gluconeogenesis,PDHA1
mmu00010,Glycolysis / Gluconeogenesis,PDHA2
mmu00010,Glycolysis / Gluconeogenesis,PFKL
mmu00010,Glycolysis / Gluconeogenesis,PFKM
mmu00010,Glycolysis / Gluconeogenesis,PGAM1
mmu00010,Glycolysis / Gluconeogenesis,PGK1
mmu00010,Glycolysis / Gluconeogenesis,PGK2
mmu00010,Glycolysis / Gluconeogenesis,PKM
