Gene_mouse,Gene_human,orthology_type,orthology_confidence
1110002E22RIK,C4orf54,ortholog_one2one,1
2310061I04RIK,C6orf136,ortholog_one2one,0
3425401B19RIK,C10orf71,ortholog_one2one,1
5031439G07RIK,KIAA0930,ortholog_one2one,1
9330159F19RIK,KIAA0408,ortholog_one2one,1
A1CF,A1CF,ortholog_one2one,1
A2M,A2M,ortholog_one2one,1
AW551984,VWA5A,ortholog_one2many,1
AACS,AACS,ortholog_one2one,1
AADAC,AADAC,ortholog_one2one,1
AAGAB,AAGAB,ortholog_one2one,1
AAK1,AAK1,ortholog_one2one,1
AAMDC,AAMDC,ortholog_one2one,1
AAMP,AAMP,ortholog_one2one,1
AARS2,AARS2,ortholog_one2one,1
AARSD1,AARSD1,ortholog_one2one,1
AASDHPPT,AASDHPPT,ortholog_one2one,1
AASS,AASS,ortholog_one2one,1
AATK,AATK,ortholog_one2one,1
ABAT,ABAT,ortholog_one2one,1
ABCA1,ABCA1,ortholog_one2one,1
ABCA13,ABCA13,ortholog_one2one,1
ABCA2,ABCA2,ortholog_one2one,1
ABCA3,ABCA3,ortholog_one2one,1
ABCA5,ABCA5,ortholog_one2one,1
ABCA6,ABCA6,ortholog_one2one,1
ABCA8B,ABCA8,ortholog_one2one,1
ABCA9,ABCA9,ortholog_one2one,1
ABCB10,ABCB10,ortholog_one2one,1
ABCB11,ABCB11,ortholog_one2one,1
ABCB1A,ABCB1,ortholog_one2many,1
ABCB1B,ABCB1,ortholog_one2many,1
ABCB4,ABCB4,ortholog_one2one,1
ABCB6,ABCB6,ortholog_one2one,1
ABCB8,ABCB8,ortholog_one2one,1
ABCB9,ABCB9,ortholog_one2one,1
ABCC1,ABCC1,ortholog_one2one,1
ABCC10,ABCC10,ortholog_one2one,1
ABCC2,ABCC2,ortholog_one2one,1
ABCC3,ABCC3,ortholog_one2one,1
ABCC4,ABCC4,ortholog_one2one,1
ABCC6,ABCC6,ortholog_one2one,1
ABCC8,ABCC8,ortholog_one2one,1
ABCC9,ABCC9,ortholog_one2one,1
ABCD1,ABCD1,ortholog_one2one,1
ABCD2,ABCD2,ortholog_one2one,1
ABCD3,ABCD3,ortholog_one2one,1
ABCD4,ABCD4,ortholog_one2one,1
ABCE1,ABCE1,ortholog_one2one,1
ABCF1,ABCF1,ortholog_one2one,1
ABCF2,ABCF2,ortholog_one2one,1
ABCF3,ABCF3,ortholog_one2one,1
ABCG1,ABCG1,ortholog_one2one,1
ABCG3,ABCG2,ortholog_one2one,0
ABCG4,ABCG4,ortholog_one2one,1
ABHD10,ABHD10,ortholog_one2one,1
ABHD12,ABHD12,ortholog_one2one,1
ABHD14B,ABHD14B,ortholog_one2one,1
ABHD15,ABHD15,ortholog_one2one,1
ABHD16A,ABHD16A,ortholog_one2one,1
ABHD17A,ABHD17A,ortholog_one2one,1
ABHD17B,ABHD17B,ortholog_one2one,1
ABHD17C,ABHD17C,ortholog_one2one,1
ABHD2,ABHD2,ortholog_one2one,1
ABHD4,ABHD4,ortholog_one2one,1
ABHD5,ABHD5,ortholog_one2one,1
ABHD6,ABHD6,ortholog_one2one,1
ABI1,ABI1,ortholog_one2one,1
ABI2,ABI2,ortholog_one2one,1
ABI3,ABI3,ortholog_one2one,1
ABI3BP,ABI3BP,ortholog_one2one,1
ABL1,ABL1,ortholog_one2one,1
ABL2,ABL2,ortholog_one2one,1
ABLIM1,ABLIM1,ortholog_one2one,1
ABLIM2,ABLIM2,ortholog_one2one,1
ABLIM3,ABLIM3,ortholog_one2one,1
ABR,ABR,ortholog_one2one,1
ABRA,ABRA,ortholog_one2one,1
ABTB2,ABTB2,ortholog_one2one,1
ACAA1A,ACAA1,ortholog_one2many,0
ACAA1B,ACAA1,ortholog_one2many,1
ACAA2,ACAA2,ortholog_one2one,1
ACACA,ACACA,ortholog_one2one,1
ACACB,ACACB,ortholog_one2one,1
ACAD10,ACAD10,ortholog_one2many,1
ACAD11,ACAD11,ortholog_one2one,1
ACAD12,ACAD10,ortholog_one2many,0
ACAD8,ACAD8,ortholog_one2one,1
ACAD9,ACAD9,ortholog_one2one,1
ACADL,ACADL,ortholog_one2one,1
ACADS,ACADS,ortholog_one2one,1
ACADSB,ACADSB,ortholog_one2one,1
ACADVL,ACADVL,ortholog_one2one,1
ACAN,ACAN,ortholog_one2one,1
ACAP1,ACAP1,ortholog_one2one,1
ACAP2,ACAP2,ortholog_one2one,1
ACAP3,ACAP3,ortholog_one2one,1
ACAT1,ACAT1,ortholog_one2one,1
ACAT2,ACAT2,ortholog_one2many,1
ACAT3,ACAT2,ortholog_one2many,1
ACBD4,ACBD4,ortholog_one2one,1
ACBD5,ACBD5,ortholog_one2one,1
ACBD6,ACBD6,ortholog_one2one,1
ACCS,ACCS,ortholog_one2one,1
ACD,ACD,ortholog_one2one,1
ACE,ACE,ortholog_one2one,1
ACHE,ACHE,ortholog_one2one,1
ACIN1,ACIN1,ortholog_one2one,1
ACLY,ACLY,ortholog_one2one,1
ACMSD,ACMSD,ortholog_one2one,1
ACO1,ACO1,ortholog_one2one,1
ACO2,ACO2,ortholog_one2one,1
ACOT1,ACOT1,ortholog_many2many,1
ACOT1,ACOT2,ortholog_many2many,1
ACOT10,ACOT9,ortholog_one2many,0
ACOT11,ACOT11,ortholog_one2one,1
ACOT12,ACOT12,ortholog_one2one,1
ACOT13,ACOT13,ortholog_one2one,1
ACOT4,ACOT4,ortholog_one2one,1
ACOT6,ACOT6,ortholog_one2one,1
ACOT7,ACOT7,ortholog_one2one,1
ACOT8,ACOT8,ortholog_one2one,1
ACOX1,ACOX1,ortholog_one2one,1
ACOX2,ACOX2,ortholog_one2one,1
ACOX3,ACOX3,ortholog_one2one,1
ACOXL,ACOXL,ortholog_one2one,1
ACP1,ACP1,ortholog_one2one,1
ACP2,ACP2,ortholog_one2one,1
ACP6,ACP6,ortholog_one2one,1
ACSBG1,ACSBG1,ortholog_one2one,1
ACSBG2,ACSBG2,ortholog_one2one,1
ACSF2,ACSF2,ortholog_one2one,1
ACSL1,ACSL1,ortholog_one2one,1
ACSL3,ACSL3,ortholog_one2one,1
ACSL4,ACSL4,ortholog_one2one,1
ACSL5,ACSL5,ortholog_one2one,1
ACSL6,ACSL6,ortholog_one2one,1
ACSM1,ACSM1,ortholog_one2one,1
ACSM2,ACSM2A,ortholog_many2many,1
ACSM2,ACSM2B,ortholog_many2many,1
ACSM3,ACSM3,ortholog_one2one,1
ACSM5,ACSM5,ortholog_one2one,1
ACSS1,ACSS1,ortholog_one2one,1
ACSS2,ACSS2,ortholog_one2one,1
ACSS3,ACSS3,ortholog_one2one,1
ACTA2,ACTA2,ortholog_one2one,1
ACTB,ACTB,ortholog_one2one,1
ACTBL2,ACTBL2,ortholog_one2one,1
ACTL6A,ACTL6A,ortholog_one2one,1
ACTL6B,ACTL6B,ortholog_one2one,1
ACTL7A,ACTL7A,ortholog_one2one,1
ACTN1,ACTN1,ortholog_one2one,1
ACTN2,ACTN2,ortholog_one2one,1
ACTN3,ACTN3,ortholog_one2one,1
ACTN4,ACTN4,ortholog_one2one,1
ACTR10,ACTR10,ortholog_one2one,1
ACTR1A,ACTR1A,ortholog_one2one,1
ACTR2,ACTR2,ortholog_one2one,1
ACTR3,ACTR3,ortholog_one2one,1
ACTR3B,ACTR3B,ortholog_one2many,1
ACTR3B,ACTR3C,ortholog_one2many,0
ACTR5,ACTR5,ortholog_one2one,1
ACTR8,ACTR8,ortholog_one2one,1
ACVR1B,ACVR1B,ortholog_one2one,1
ACVR1C,ACVR1C,ortholog_one2one,1
ACVRL1,ACVRL1,ortholog_one2one,1
ACY1,ACY1,ortholog_one2one,1
ACY3,ACY3,ortholog_one2one,1
ACYP2,ACYP2,ortholog_one2one,1
ADA,ADA,ortholog_one2one,1
ADAM10,ADAM10,ortholog_one2one,1
ADAM11,ADAM11,ortholog_one2one,1
ADAM15,ADAM15,ortholog_one2one,1
ADAM22,ADAM22,ortholog_one2one,1
ADAM23,ADAM23,ortholog_one2one,1
ADAM28,ADAM28,ortholog_one2one,1
ADAM7,ADAM7,ortholog_one2one,1
ADAMTSL4,ADAMTSL4,ortholog_one2one,1
ADAP1,ADAP1,ortholog_one2one,1
ADAP2,ADAP2,ortholog_one2one,1
ADAR,ADAR,ortholog_one2one,1
ADARB1,ADARB1,ortholog_one2one,1
ADAT1,ADAT1,ortholog_one2one,1
ADAT2,ADAT2,ortholog_one2one,1
ADAT3,ADAT3,ortholog_one2many,1
ADCK1,ADCK1,ortholog_one2one,1
ADCK5,ADCK5,ortholog_one2one,1
ADCY1,ADCY1,ortholog_one2one,1
ADCY2,ADCY2,ortholog_one2one,1
ADCY4,ADCY4,ortholog_one2one,1
ADCY5,ADCY5,ortholog_one2one,1
ADCY6,ADCY6,ortholog_one2one,1
ADCY8,ADCY8,ortholog_one2one,1
ADCY9,ADCY9,ortholog_one2one,1
ADD1,ADD1,ortholog_one2one,1
ADD2,ADD2,ortholog_one2one,1
ADD3,ADD3,ortholog_one2one,1
ADH1,ADH1A,ortholog_one2many,1
ADH1,ADH1B,ortholog_one2many,1
ADH1,ADH1C,ortholog_one2many,1
ADH4,ADH4,ortholog_one2one,1
ADH5,ADH5,ortholog_one2one,1
ADH7,ADH7,ortholog_one2one,1
ADHFE1,ADHFE1,ortholog_one2one,1
ADI1,ADI1,ortholog_one2one,1
ADIPOR1,ADIPOR1,ortholog_one2one,1
ADIPOR2,ADIPOR2,ortholog_one2one,1
ADK,ADK,ortholog_one2one,1
ADM,ADM,ortholog_one2one,1
ADNP,ADNP,ortholog_one2one,1
ADO,ADO,ortholog_one2one,1
ADPGK,ADPGK,ortholog_one2one,1
ADPRH,ADPRH,ortholog_one2one,1
ADPRHL1,ADPRHL1,ortholog_one2one,0
ADRB2,ADRB2,ortholog_one2one,1
ADRB3,ADRB3,ortholog_one2one,1
ADRM1,ADRM1,ortholog_one2many,1
ADSL,ADSL,ortholog_one2one,1
AFAP1,AFAP1,ortholog_one2one,1
AFAP1L1,AFAP1L1,ortholog_one2one,1
AFAP1L2,AFAP1L2,ortholog_one2one,1
AFF1,AFF1,ortholog_one2one,1
AFG3L2,AFG3L2,ortholog_one2one,1
AFTPH,AFTPH,ortholog_one2one,1
AGA,AGA,ortholog_one2one,1
AGAP1,AGAP1,ortholog_one2one,1
